,Country,Year,Unemployment Rate
617,Cyprus,2010,6.26
618,Cyprus,2011,7.86
619,Cyprus,2012,11.8
620,Cyprus,2013,15.87
621,Cyprus,2014,16.09
622,Cyprus,2015,14.91
623,Cyprus,2016,12.95
624,Czech Republic,1991,2.27
625,Czech Republic,1992,2.6
626,Czech Republic,1993,4.32
627,Czech Republic,1994,4.3
628,Czech Republic,1995,4.02
629,Czech Republic,1996,3.89
630,Czech Republic,1997,4.27
631,Czech Republic,1998,5.9
632,Czech Republic,1999,8.49
633,Czech Republic,2000,8.76
634,Czech Republic,2001,7.99
635,Czech Republic,2002,7.02
636,Czech Republic,2003,7.54
637,Czech Republic,2004,8.21
638,Czech Republic,2005,7.93
639,Czech Republic,2006,7.15
640,Czech Republic,2007,5.32
641,Czech Republic,2008,4.39
642,Czech Republic,2009,6.66
643,Czech Republic,2010,7.28
644,Czech Republic,2011,6.71
645,Czech Republic,2012,6.98
646,Czech Republic,2013,6.95
647,Czech Republic,2014,6.11
648,Czech Republic,2015,5.05
649,Czech Republic,2016,3.95
650,Denmark,1991,9.1
651,Denmark,1992,9.03
652,Denmark,1993,10.72
653,Denmark,1994,8.04
654,Denmark,1995,6.99
655,Denmark,1996,6.84
656,Denmark,1997,5.4
657,Denmark,1998,5.04
658,Denmark,1999,5.14
659,Denmark,2000,4.48
660,Denmark,2001,4.16
661,Denmark,2002,4.27
662,Denmark,2003,5.4
663,Denmark,2004,5.2
664,Denmark,2005,4.83
665,Denmark,2006,3.9
666,Denmark,2007,3.8
667,Denmark,2008,3.68
668,Denmark,2009,6.41
669,Denmark,2010,7.75
670,Denmark,2011,7.77
671,Denmark,2012,7.8
672,Denmark,2013,7.38
673,Denmark,2014,6.93
674,Denmark,2015,6.28
675,Denmark,2016,5.99
676,Ecuador,1991,4.37
677,Ecuador,1992,4.53
678,Ecuador,1993,4.56
679,Ecuador,1994,4.44
680,Ecuador,1995,4.59
681,Ecuador,1996,4.65
682,Ecuador,1997,4.51
683,Ecuador,1998,4.61
684,Ecuador,1999,5.18
685,Ecuador,2000,4.8
686,Ecuador,2001,4.25
687,Ecuador,2002,4.9
688,Ecuador,2003,5.66
689,Ecuador,2004,5
690,Ecuador,2005,3.78
691,Ecuador,2006,3.55
692,Ecuador,2007,3.14
693,Ecuador,2008,3.92
694,Ecuador,2009,4.61
695,Ecuador,2010,4.09
696,Ecuador,2011,3.46
697,Ecuador,2012,3.23
698,Ecuador,2013,3.08
699,Ecuador,2014,3.48
700,Ecuador,2015,3.62
701,Ecuador,2016,4.6
728,El Salvador,1991,7.53
729,El Salvador,1992,7.88
730,El Salvador,1993,9.94
731,El Salvador,1994,7.68
732,El Salvador,1995,7.65
733,El Salvador,1996,7.68
734,El Salvador,1997,7.98
735,El Salvador,1998,7.1
736,El Salvador,1999,6.68
737,El Salvador,2000,6.96
738,El Salvador,2001,6.96
739,El Salvador,2002,5.73
740,El Salvador,2003,6.26
741,El Salvador,2004,6.05
742,El Salvador,2005,7.22
743,El Salvador,2006,6.57
744,El Salvador,2007,6.41
745,El Salvador,2008,5.88
746,El Salvador,2009,7.33
747,El Salvador,2010,4.89
748,El Salvador,2011,4.3
749,El Salvador,2012,3.84
750,El Salvador,2013,3.69
751,El Salvador,2014,4.15
752,El Salvador,2015,4
753,El Salvador,2016,4.42
754,Estonia,1991,1.47
755,Estonia,1992,3.68
756,Estonia,1993,6.54
757,Estonia,1994,7.56
758,Estonia,1995,9.66
759,Estonia,1996,9.92
760,Estonia,1997,10.37
761,Estonia,1998,9.51
762,Estonia,1999,11.57
763,Estonia,2000,13.36
764,Estonia,2001,13.13
765,Estonia,2002,10.03
766,Estonia,2003,11.29
767,Estonia,2004,10.25
768,Estonia,2005,8.03
769,Estonia,2006,5.91
770,Estonia,2007,4.59
771,Estonia,2008,5.45
772,Estonia,2009,13.55
773,Estonia,2010,16.71
774,Estonia,2011,12.33
775,Estonia,2012,10.02
776,Estonia,2013,8.63
777,Estonia,2014,7.35
778,Estonia,2015,6.19
779,Estonia,2016,6.76
780,Fiji,1991,4.06
781,Fiji,1992,3.88
782,Fiji,1993,3.96
783,Fiji,1994,3.9
784,Fiji,1995,3.94
785,Fiji,1996,3.9
786,Fiji,1997,4.03
787,Fiji,1998,3.95
788,Fiji,1999,3.79
789,Fiji,2000,3.99
790,Fiji,2001,3.91
791,Fiji,2002,3.87
792,Fiji,2003,3.91
793,Fiji,2004,3.81
794,Fiji,2005,3.89
795,Fiji,2006,3.96
796,Fiji,2007,4.11
797,Fiji,2008,4.16
798,Fiji,2009,4.31
799,Fiji,2010,4.31
800,Fiji,2011,4.41
801,Fiji,2012,4.42
802,Fiji,2013,4.33
803,Fiji,2014,4.29
804,Fiji,2015,4.3
805,Fiji,2016,4.32
806,Finland,1991,6.5
807,Finland,1992,11.6
808,Finland,1993,16.2
809,Finland,1994,16.43
810,Finland,1995,17
811,Finland,1996,15.57
812,Finland,1997,14.97
813,Finland,1998,13.21
814,Finland,1999,11.69
815,Finland,2000,11.13
816,Finland,2001,10.29
817,Finland,2002,10.42
818,Finland,2003,10.47
819,Finland,2004,10.36
820,Finland,2005,8.38
821,Finland,2006,7.72
822,Finland,2007,6.85
823,Finland,2008,6.37
824,Finland,2009,8.25
825,Finland,2010,8.39
826,Finland,2011,7.78
827,Finland,2012,7.69
828,Finland,2013,8.19
829,Finland,2014,8.66
830,Finland,2015,9.38
831,Finland,2016,8.82
832,France,1991,9.13
833,France,1992,10.21
834,France,1993,11.32
835,France,1994,12.59
836,France,1995,11.84
837,France,1996,12.37
838,France,1997,12.57
839,France,1998,12.07
840,France,1999,11.98
841,France,2000,10.22
842,France,2001,8.61
843,France,2002,8.7
844,France,2003,8.31
845,France,2004,8.91
846,France,2005,8.49
847,France,2006,8.45
848,France,2007,7.66
849,France,2008,7.06
850,France,2009,8.74
851,France,2010,8.87
852,France,2011,8.81
853,France,2012,9.4
854,France,2013,9.92
855,France,2014,10.29
856,France,2015,10.35
857,France,2016,10.05
884,Georgia,1991,2.7
885,Georgia,1992,5.4
886,Georgia,1993,5.4
887,Georgia,1994,8.4
888,Georgia,1995,7.6
889,Georgia,1996,11.5
890,Georgia,1997,11.5
891,Georgia,1998,14.53
892,Georgia,1999,13.8
893,Georgia,2000,10.82
894,Georgia,2001,11.16
895,Georgia,2002,12.59
896,Georgia,2003,11.51
897,Georgia,2004,12.62
898,Georgia,2005,13.81
899,Georgia,2006,13.57
900,Georgia,2007,13.28
901,Georgia,2008,17.87
902,Georgia,2009,20.71
903,Georgia,2010,20.2
904,Georgia,2011,19.63
905,Georgia,2012,19.65
906,Georgia,2013,19.42
907,Georgia,2014,17.44
908,Georgia,2015,16.51
909,Georgia,2016,16.6
910,Germany,1991,5.32
911,Germany,1992,6.32
912,Germany,1993,7.68
913,Germany,1994,8.73
914,Germany,1995,8.16
915,Germany,1996,8.82
916,Germany,1997,9.86
917,Germany,1998,9.79
918,Germany,1999,8.86
919,Germany,2000,7.92
920,Germany,2001,7.77
921,Germany,2002,8.48
922,Germany,2003,9.78
923,Germany,2004,10.73
924,Germany,2005,11.17
925,Germany,2006,10.25
926,Germany,2007,8.66
927,Germany,2008,7.52
928,Germany,2009,7.74
929,Germany,2010,6.97
930,Germany,2011,5.82
931,Germany,2012,5.38
932,Germany,2013,5.23
933,Germany,2014,4.98
934,Germany,2015,4.62
935,Germany,2016,4.12
936,Greece,1991,7.66
937,Greece,1992,7.84
938,Greece,1993,8.61
939,Greece,1994,8.86
940,Greece,1995,9.06
941,Greece,1996,9.66
942,Greece,1997,9.58
943,Greece,1998,10.84
944,Greece,1999,11.85
945,Greece,2000,11.25
946,Greece,2001,10.46
947,Greece,2002,9.97
948,Greece,2003,9.41
949,Greece,2004,10.31
950,Greece,2005,9.99
951,Greece,2006,9.01
952,Greece,2007,8.4
953,Greece,2008,7.76
954,Greece,2009,9.62
955,Greece,2010,12.71
956,Greece,2011,17.86
957,Greece,2012,24.44
958,Greece,2013,27.47
959,Greece,2014,26.49
960,Greece,2015,24.9
961,Greece,2016,23.54
962,Guatemala,1991,2.59
963,Guatemala,1992,2.57
964,Guatemala,1993,2.61
965,Guatemala,1994,2.62
966,Guatemala,1995,2.61
967,Guatemala,1996,2.68
968,Guatemala,1997,2.65
969,Guatemala,1998,2.65
970,Guatemala,1999,2.7
971,Guatemala,2000,2.72
972,Guatemala,2001,2.78
973,Guatemala,2002,2.75
974,Guatemala,2003,2.81
975,Guatemala,2004,2.97
976,Guatemala,2005,3.05
977,Guatemala,2006,3.06
978,Guatemala,2007,3.11
979,Guatemala,2008,3.31
980,Guatemala,2009,3.51
981,Guatemala,2010,3.5
982,Guatemala,2011,3.09
983,Guatemala,2012,2.76
984,Guatemala,2013,3.02
985,Guatemala,2014,2.72
986,Guatemala,2015,2.51
987,Guatemala,2016,2.58
988,Guyana,1991,11.93
989,Guyana,1992,11.9
990,Guyana,1993,11.88
991,Guyana,1994,11.86
992,Guyana,1995,11.88
993,Guyana,1996,11.84
994,Guyana,1997,11.84
995,Guyana,1998,11.89
996,Guyana,1999,11.84
997,Guyana,2000,11.86
998,Guyana,2001,11.81
999,Guyana,2002,11.81
1000,Guyana,2003,11.55
1001,Guyana,2004,11.27
1002,Guyana,2005,11.02
1003,Guyana,2006,10.7
1004,Guyana,2007,10.96
1005,Guyana,2008,11.27
1006,Guyana,2009,11.53
1007,Guyana,2010,11.8
1008,Guyana,2011,12.06
1009,Guyana,2012,12.34
1010,Guyana,2013,12.63
1011,Guyana,2014,12.92
1012,Guyana,2015,13.21
1013,Guyana,2016,13.46
1040,Hungary,1991,8.5
1041,Hungary,1992,9.94
1042,Hungary,1993,12.1
1043,Hungary,1994,10.85
1044,Hungary,1995,10.17
1045,Hungary,1996,10.02
1046,Hungary,1997,8.99
